,Index,data,labels
106,0_345,"""Bring back SQL Server Compact in Windows 10 UWP""",0
107,1619,Tried both WebViewExecutionMode.SeparateThread,0
108,883,"""The above case is trying to subtract from the width of another element but clamp it within a specific range.""",0
109,906_2,"""Ie Littlewoods etc item images""",0
110,3225,"""It seems like there's now some sort of internal limit on how many MapIcons are displayed at a time.""",0
111,1707_1,"""Are you guys taking this serious?""",0
112,907_5,"""(See http://wpdev.uservoice.com/forums/110705-app-platform/suggestions/2321588-bug-click-on-reminder-will-not-open-target-app-w) I really hope Microsoft can resolve this issue, because it is clearly a bug and it definitely does not work as designed.""",0
113,946_4,"""when entering/leaving a state or reaching city limits.""",0
114,3263,"""This led to a runtime crash that took a long time to figure out.""",0
115,1514_7,"""Need access to set this property programmatically.""",0
116,1800_9,"""Think of an app that needs to update the tile once a year or month to remind the user of something.""",0
117,825_1,"""ReportInterval set to 1 second, the phone would regularly take 30 - 45 seconds and sometimes minutes to report.""",0
118,3524,"""It seems that since around 15043 when showing LoggingChannel.LogMessage() calls the string message portion is blank in device portal (shows stringmessage:).""",0
119,0_1428,"""I already tried to reinstall the app.""",0
120,0_31,"""Once it happens in normal usage, you won't be able to reinitialize the player at_____ more""""",0
121,919_10,"""Now that beta apps do not expire, we, the developers need a way to force remove a beta app from devices or remove access for certain users.""",0
122,2788,In 99 percent of cases I receive MeasureOverride exception or Error HRESULT E_FAIL has been returned from a call to a COM component.. No matter what the problem is you'll get that kind of useless information.,0
123,1689_6,"""Hey Microsoft, talk to Resco, SPB, SBSH and those good companies were making great apps for Windows Mobile.""",0
124,0_1971,"""Recently the 'visit website' launches the internal browser but it fails to load anything.""",0
125,3022,"""The Street and StreetNumber property of the MapLocationFinder.FindLocationsAsync() results have no value.""",0
126,2278,If you wonder why developers are not jumping on to something as attractive as Desktop Bridge this is the reason.,0
127,1116,Both Process Isolation and Hyper-V Isolation for Containers are available in Windows Server 2016 but Windows 10 only supports Hyper-V isolation.,0
128,953,"""The ability to use products like Office with VR.""",0
129,0_847,"""I spend a few hours at least each time I update the app using online translators and copying and pasting between all of the fields and a online translator.""",0
130,1690,In my opinion UWP is too much APP centric.,0
131,831_1,"""It is showing the status 'generating' for the past 1 hour.""",0
132,2025,Calling this method would throw exception at runtime.,0
133,1782_14,"""So, I had this great idea for an app... Got a good chunk of it coded, then found out that SmsComposeTask doesn't have the ability to attach images as an MMS.""",0
134,1815_12,"""It was great to see at a glance rating, money generated by the application...""",0
135,1380_2,"""I don't think this is a good design for BingMapsDirectionsTask, it's not flexible.""",0
136,1762_1,"""_________________________________ON/OFF________________ _______________________________________________________________________________________________""",0
137,235,"""This is really useful for making debugging tools such as making a Service Discovery browser.""",0
138,1383_3,"""One public folder with full access as flash memory with configurable size.""",0
139,0_2083,"""It's annoying to have Acrobat auto-open a useless bookmark listing (one entry) in the reading window because it decreases the visible screen real estate devoted to rendering the PDF.""",0
140,1227_4,"""It would be great if the part of the application ISO store could be made visible in the Windows File Explorer when the phone is connected by the USB cable.""",0
141,7017,If you add more than a few like 25+ the performance is so bad that you have to wait for a few seconds after you stop to be sure that the pins/controls are in the right position.,0
142,4322,"""System.IO.DirectoryNotFoundException: The system cannot find the path specified.""",0
143,0_1432,"""http://mrreaderblog.curioustimes.de/post/52060909928/supported-google-reader-alternatives-part-two""",0
144,4376,"""However there seems to be no such accommodation for style definitions located either in ResourceDictionary files or embedded directly into the page XAML.""",0
145,0_134,"""Speculation: It appears to me that the Store is seeing the update as a """"new"""" app and therefore the original certificate is no longer recognized -- thereby triggering the symptoms above.""",0
146,1249,"""Please fix this annoying issue.""",0
147,899,"""Apple does this already with there apps (scroll down to the Outside of the Mac App Store section: https://developer.apple.com/macos/distribution/""",0
148,3428,"""At the moment there is no easy way to prevent a one-way binding from clearing when a DependencyProperty is set to a new value.""",0
149,1823_2,"""I can't see the total downloads of my apps anymore, because the downloads prior to the new dashboard has vanished.""",0
150,1355,"""It's tooo painful.""",0
151,4136,"""With Silverlight in Windows Phone i had the ability to use FM radio APIs.""",0
152,2530,when pinning secondary tile let us create an sub group on startscreen too,0
153,2747,I think this is the reason why Appium Inspector does not highlight the element position in the screenshot images when an element was selected in the App Source tree or clicking on the screenshot does not select the corresponding element in the App Source tree.,0
154,2199,"""So audio and video works but subtitles don't work.""",0
155,1868_2,"""It is because the web browser keeps the cookies.""",0
156,0_1462,"""I tried more than 5 on my Nook Simple Touch.""",0
157,769_1,"""We have amazing platforms performing at blazing speeds(benchmarked) and good operation management framework in place.""",0
158,0_1607,"""In both cases what should be a """"float:left"""" is actually changed in the code to a """"float:right.""""""",0
159,3707,"""Other platforms allow for customization to be downloaded and dynamically loaded in to the app domain.""",0
160,1719_4,"""Creation of the HUB of the programs in the list of all programs to reduce the displayed number.""",0
161,1008_3,"""Because we cannot pay for an expensive Azure cloud service everytime we need to connect to a database...""",0
162,664_1,"""Wich means the new version not fully replaced the old version and this causes me very serious problems: 1.""",0
163,81,"""This way the app is very robust and flexible.""",0
164,1749_11,"""(Thanks to ColinEberhardt for initially raising this issue)""",0
165,986,"""M$ even tries to pay customers to use Bing & Edge.""",0
166,2155,(sorry for the photo could not do a regular screen shot at the moment!),0
167,1260_3,"""So we can see all our emails in single app""",0
168,632,"""the problem exists but a bit another kind of.""",0
169,4292,"""There are many devices (like a USB-Madi or Dante Virtual Soundcard) which use at least 64 channels.""",0
170,0_2012,"""However, it seems that the selection of where to save any given article to Onenote on Windows Phone 8 always uses the """"default"""" section set in OneNote and not the one specified in the path when activating my onenote account.""",0
171,3499,"""I noticed there is a possibility to block payments in the interface of my Windows Store developer account but it is a Boolean.""",0
172,385,This is the second question with kind of hardware device is use to.,0
173,0_1707,"""Could you fix it?""""",0
174,0_1837,"""This option is very important when RSS feed contains only text excerpt.""",0
175,1498_3,"""Press ""delete"".""",0
176,2166,So far so good.,0
177,0_637,"""Many apps have cloud services behind them that cost money and no revenue is generated for up to two weeks in some situations.""",0
178,2390,MapControl crashing whole App with the following stacktrace:,0
179,2340,"""However in the worst case when SP and TM are ordered in the following way:""",0
180,1399_2,"""I know that storage and storing information is limited to the application context.""",0
181,0_706,"""This option is already present in the desktop variant of the app, but missing in the mobile app.""""",0
182,0_293,"""_ As you can see, it fails at the position where the """">"""" should be.""",0
183,0_1813,"""Feedly allowed mailing articles through gmail directly instead of bringing up a mail client.""",0
184,853_2,"""So it could stick with the same 4 row limit but could allow for wrapping so if there were 7 items, the applicationbar would expand to allow for the 2nd row of icons.""",0
185,1252_4,"""If we can see the current voltage level, we can determine if the phone is plugged in to USB power, or utilizing an induction charger.""",0
186,0_757,"""Create your own 3d library.""",0
187,3254,"""The UWP application platform has a rich media API which allows querying of a video device (e.g.""",0
188,2503,"""Using the Windows10SInstaller5932 when converting an Intune Managed Windows 10 Education device we are prompted during the initial configuration to set a PIN (Windows Hello) despite having this feature disabled via Intune policy.""",0
189,808_1,"""My idea - Large size of tiles - Interactive live tiles, we can next, pause, prev songs at xbox music live tiles, read mail without open app, etc... - Photo background, (no more dark or light), like windows 8.""",0
190,1380_4,"""Currently we have to download and configure the silverlight toolkit to get certain UI elements that should really be integrated with the platform.""",0
191,147,"""Call stack: https://hastebin.com/legulilabu""",0
192,3286,"""Users are asking me frequently for a XBox version of my app.""",0
193,4207,"""This gave the MasterDetailsView the time it needed to subscribe to the event first in order to handle it.""",0
194,565,Remember Steve Balmer - developers developers developers.,0
195,1400_3,"""Cheers,""",0
196,814_1,"""That would rock live tiles capabilities to extreme...""",0
197,941_3,"""best regards and a___ more""",0
198,6806,Attempting to use TextAlignment within Page.Resources and referencing it via StaticResource in a Universal Windows App will compile but throw an exception.,0
199,1331,Sadly if you're someone who finds this annoying there's no option to disable this behavior.,0
200,843_10,"""currently we can't change and schedule the price for a limited time (free or 50% off ...) .""",0
201,2843,"""It's not possible to set the Hijri adjustment for the month of Ramadan/Shaban though which can vary per region/user (some users like to use the adjustment of a different country).""",0
202,969_4,"""Other platforms(android) can play them(touchshow) how does a windows phone not?""",0
203,4390,"""Support for developers willing to get the apps converted and placed in the Windows store is below anecdotal.""",0
204,1585_2,"""we think, that an certificate manager would resolve the problem.""",0
205,1557_1,"""In trying to develop a custom playlist application, it is apparent that it is impossible to integrate the BackgroudAudioPlayer with the XNA.MediaLibrary.""",0
206,0_2118,"""This will be an excellent advantage compared with other options.""",0
207,2156,Looks good?,0
208,1595_3,""":(""",0
209,3252,"""As a result skeletal tracking apps do not work on the XBOX platform.""",0
210,1718_13,"""Microphone.IsHeadset property now always return true even without headset connected.""",0
211,1294,The problem is that when we delete that file and recreate it (same filename) the create date stays the same!,0
212,0_1430,"""I am using this app for my iPad and yours for the iPhone and Laptop.""",0
213,0_1335,"""I don't care how many votes this suggestions gets, if I see it happen again, feedly will be DEAD to me.""",0
214,0_243,"""Xaml.""",0
215,1556,Is this possible to use this feature in our Windows App Store Universal Apps and if we can  do we have any sample code to accomplish this ?,0
216,0_2075,"""Think group list on linkedin.""""",0
217,4280,"""This work is not viable to indi devs >>> https://wpdev.uservoice.com/forums/110705-universal-windows-platform/suggestions/3820213-allow-multiple-microsoft-accounts-to-manage-a-dev""",0
218,0_2166,"""Hey I have feedly notifier in firefox on windows 8.""",0
219,1485_9,"""3.- WCF don't let duplex communication.""",0
220,0_70,"""This should work just like any other kind of image data.""",0
221,792_25,"""- Boolean AdaptItemHeight - Integer MaxNumberOfColumns With AdaptItemHeight set to true the height of the gridviewitems can be variable.""",0
222,876,My Customer (I'm an Office 365 Consultant) are struggling with the adoption of this new way of working because of simple things like this that annoy and takes 2-10 minutes per person per working spot.,0
223,1841_1,"""They may have been in a country that is not supported for example.""",0
224,1514_12,"""its the keyboard Nokias had and im used to them.""",0
225,1665_1,"""Impractical to say the least.""",0
226,846_5,""":-) I understand that it makes sense to only show app reviews only in those countrys were they come from.""",0
227,4034,"""On this page there is explanation how to make a file explorer integration on a desktop bridge app:""",0
228,1716,PowerShell Stack Trace:,0
229,0_674,"""Some apps don't work in background well.





Downloads may breaks when apps switched.





For example, it's better that browser can load a page while i'm switching on another application.""""",0
230,1798_6,"""Alternatively ---------------- To provide an experience consistent with the platforms SMS text input capability, provide support to allow TextBox to 1. grow as new lines are added.""",0
231,1713_5,"""Filter in the ListBox is very important.""",0
232,743,Normal mouses are working fine but 3D mouse such a SpaceNavigator from 3D Connexion is only able to zoom over RDC.,0
233,973_1,"""Want to get list of thirdparty apps, to make the phone secured,""",0
234,959_4,"""is it possible to create a traffic counter that can show, how many traffic I have by wifi or by gms (lte).""",0
235,1735_5,"""It makes getting around the city so much easier.""",0
236,702_3,"""However, Podacasts do not pause and will continue to play (inaudibly) in the background as you interact with Cortanta.""",0
237,884_3,"""I don't know how to change this... to make this works properly.""",0
238,682_2,"""First of all, on Windows Phone 8.1 I always get an IOException when trying to call PickContactAsync().""",0
239,3239,"""The skeleton tracking is not working on XBOX.""",0
240,8935,Currently (as of 8.1) when there is an embedded video in a WebView and the user presses the fullscreen button the video expands to only the extents of the WebView; which isn't fullscreen if the WebView is surrounded by other controls.,0
241,1814_1,"""Please let me know how to do this?""",0
242,744_4,"""Apps on Windows Phone were able to run under the lock screen for quite some time.""",0
243,0_403,"""I could not open task manager nor Start menu even after restarting Windows.""",0
244,2065,If you change the DataPackageOperation to Copy the problem goes away.,0
245,964_4,"""Having users enroll their phone using the same mdm client no matter the vendor is a nice idea.""",0
246,1718_3,"""The problem may be relevant to HTC HD7 only though, since I have no other device to test.""",0
247,1997,This will enable automatic testing on hybrid windows apps where DOM inspection is necessary.,0
248,1955,I have created AppPinManager helper class  just call those helper fuunction  it will takecare to add into the startmenu or TaskBar,0
249,1081,I cannot expand FAQ entries and so on.,0
250,0_1403,"""Many of us use Beyondpod as the ""go to"" app for pod casts.""",0
251,828_1,"""3) In general the API is poorly designed.""",0
252,0_249,"""Much effort was made in WPF Xaml Serialization to decouple it from the presentation assemblies and moved into its own assemblies, System.Xaml, and System.Windows.Markup.""",0
253,0_129,"""Currently there is no way to schedule recurring notifications using ScheduledToastNotification.





""",0
254,1287_15,"""We can see the issue by playing youtube video or play video in MetroTube, Tube Pro app.""",0
255,896_10,"""If so then this issue should concern you as a developer.""",0
256,907_4,"""From an old suggestion which got declined: - Phone off (locked) - Reminder comes up (reminder is setup to open the owner app when tapped) - User taps over reminder, then unlocks: target app is not launched Expected: Tapping over the reminder and then unlocking should take the user to the target app, just as it works when the phone is unlocked and a reminder pops up.""",0
257,899_2,"""BlackBerry has an Android runtime that can be used to run Android .apk files and developers can port their Android app to the BB OS.""",0
258,1358,"""Uservoice already have it.""",0
259,3750,"""This control is not to be confused with the existing pivot viewer in UWP.""",0
260,1003_1,"""When entering a payment method, there's no option to delete an existing payment method before entering a new one.""",0
261,4413,"""As a result all of the notification strings have to be generated server-side iterating for all the languages supported by the client (like https://azure.microsoft.com/en-us/documentation/articles/notification-hubs-ios-xplat-localized-apns-push-notification/) .""",0
262,784_3,"""I've tried reseating it - Turning off Data Sense, Wifi-sense amke no difference Please help!""",0
263,0_2108,"""Even after I log out of feedly.""",0
264,4115,"""Instead in W10M it opens just when I release the finger.""",0
265,910,I have been trying to get my son into programming and so far his dev experience has been less than exciting.,0
266,0_225,"""That way, there is truly *ONE* WUP application codebase, and it can truly work *anywhere*.""",0
267,0_825,"""Currently multichannel audio is downmixed to stereo.""",0
268,2327,"""But I couldn't find any option in my dev center account to support this functionality.""",0
269,1485_1,"""I have a Samsung Focus S which has the camera button on the side.""",0
270,0_797,"""Now, I created a universal app.""",0
271,2450,This is what I am currently using ApplicationViewWindowingMode.Auto : ApplicationViewWindowingMode.PreferredLaunchViewSize;,0
272,726_1,"""Change exchange rate between Argentina, Indonesia, South Africa.""",0
273,1841_7,"""The ""trial"" is a fantastic concept, but it is hobbled by this oversight""",0
274,134,"""At Build 2018 support between Cortana and Alexa was announced.""",0
275,0_1811,"""Clean, at the end of articles, and available for comments before posting.""",0
276,792_8,"""In WindowsPhone 8.1 the contents of fields FirstName and LastName is correct but when I run App from smartphone, the PickContactAsync() method crash (The same code work well on Windows phone 8.1___ more""",0
277,919_1,"""Probably in WP8.x it's fixed?""",0
278,715_1,"""Closes alone than nothing""",0
279,0_275,"""In Dev Center I can see the downloads for only up to 6 apps at once.""",0
280,1010_5,"""Because it can't link with Andriod , IOS , and even WP7""",0
281,2248,"""While downloading a file with BackgroundDownloader the progress updates every 1MB which is not really accurate.""",0
282,0_161,"""The WrapPanel behavior is how items flow in HTML.""",0
283,0_750,"""I feel like why to add built-in drawing functionality at all as 3d is not built-in.""",0
284,0_1564,"""If you don't fix that i will seriously consider droping feedly.""",0
285,0_167,"""One simple example where the WrapPanel is essential is when displaying a_____ more""""",0
286,1280_2,"""This option is also not work until we have metadata of song i.e.""",0
287,379,"""Our app is using MenuFlyout with shadow effect a lot so it's causing us lot of headache right now.""",0
288,667_15,"""100% reproducible on Lumia 920 cyan update.""",0
289,0_1958,"""With IE9 and later in Windows 7 and Windows 8, you can drag a web site URL from the address bar to the taskbar and pin the site to your taskbar for easy access.""",0
290,902,Test apps (although hidden in the store) undergo the same certification process.,0
291,896_2,"""Is there a way to add a progress (i.e.""",0
292,0_1615,"""The Oauth screen is popping up and hanging,""""",0
293,2377,"""it's extremely annoying when I face service issues with devcenter with no knowledge if they are investigated or not.""",0
294,1858_1,"""And there are some approach to work around on most of the controls.""",0
295,777,"""It's happening on multiple different virtualizers (Parallels VirtualBox ...).""",0
296,0_369,"""Dovrebbero fare una sveglia che si spegne con la voce""",0
297,886,"""If I add a (x:Int32) case before the inner function I get a 'Functions cannot have other functions as parameters' error.""",0
298,126,"""I'm okay with a friendly warning perhaps a glyph replacement?""",0
299,575,"""Tested in both c++ and c#.""",0
300,0_2045,"""When I use the define option in iOS in iPad deeply opens a new window instead of showing a pop up.""",0
301,1763,""" at System.Management.Automation.WildcardPattern.IsMatch(String input)""",0
302,0_1937,"""The ""Good read"" tagline isn't attached to my twitter posts when I schedule the posts through buffer.""",0
303,6,"""And checking GetCapabilitySupportedAsync is always false for any known capability.""",0
304,1760_11,"""For example, logging GPS position for a tracking application with vehicle power supplied to the phone would run for 2sec every 30sec with another background task running every 30min for perhaps 30sec to send the batched data to a webservice.""",0
305,0_1526,"""I would like to change my log in for feedly so that it does not match my google account, which contains other personal data.""",0
306,0_935,"""For example: After purchase an app, users receive a unique code or URL for same app and them can send to another user and the end user redeem the code or open URL for add the app to his account's""",0
307,1937,"""Under UWP it is still not possible to open a folder or file out of the sandbox.""",0
308,960,Poolmon is not offered as a standalone tool and only as part of the Windows Driver Kit so I must download the entire Windows Driver Kit to access this one small tool.,0
309,2544,"""If it is not intended why then is it not called Windows CRT for Microsoft VC - what am I missing and is it really legal/appropriate?""",0
310,0_991,"""At present, I have to search for the executable, etc.""",0
311,2066,"""Repro project: https://github.com/riverar/DragDropWobblyRepro""",0
312,1549_13,"""currently when you miss a toast notification, you have no way to check what it was..""",0
313,3392,"""Until now I can't find any api or documents about this.""",0
314,1130,"""But RenderTargetBitmap API doesn't work in Background.""",0
315,896_24,"""This reduces the transparency as well as ability to verify transaction.""",0
316,0_696,"""Hi Super fastest calling with Home Button Shortcut NOKIA Symbian: just press key ""2"" on LOCKED screen for 2 seconds, for phone call (profile change, etc....run application) WINDOWS: ...........





.





NOT POSSIBLE !!!





Why can i NOT assign to-run-application for some BUTTON on locked screen...?





Why can i NOT assign to-run-application for some SCREEN-REGION on locked screen...?""""""""",0
317,912_2,"""as it occurs on Android and iOS.""",0
318,1824_7,"""I use this property to restore application state after tombstoning, but the user experience is terrible because this just causes the pano items to reorder themselves.""",0
319,1894,"""It can be used between UWP apps but not in Windows Explorer which really is a shame.""",0
320,1210_2,"""Now, that obviously has the result of bad apps being near the top a lot, so you modify that with ratings.""",0
321,1749_3,"""A better implementation might expose a new property or method on MediaLibrary that provides access to a podcast subscription management and episode access object.""",0
322,681_8,"""See this thread for an example: http://social.msdn.microsoft.com/Forums/windowsapps/en-US/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp""",0
323,1361_4,"""Since this issue will impact my decisions when developing my Windows Phone 7 app, I do not consider this off topic.""",0
324,1784_2,"""This would allow (as others have suggested) a more streamlined process for tracking changes and perhaps even uploading a single package without having to fill in the blanks.""",0
325,1407,"""The app gets rejected during submission to the store as some features are disabled as admin privileges are required.""",0
326,1400_7,"""Having a lot of i-gear, iPhone, iPads etc that can print, it is dissappointing not beeing able to use the equipment I already own.""",0
327,696_1,"""2 - I use SettingsFlyouts and I took some time to replicate them as pages in the Windows Phone project.""",0
328,1292,"""In visual studio if I select the container (a grid) and change something like the flow from horizontal to vertical the redraw fixes the issue which leads me to believe that it's the render.""",0
329,0_497,"""scenario: user save a file, app is closed, directory is deleted/renamed, next time: Dlg Save file: error shown (folder not exist) and shown dir is: windows/system32 expected result should be: -> act directory is defined by SuggestedStartLocation -> or 'old' path but one/some directories up -> the errormessage is not nessesary""",0
